2265890.1307607,907,909
22146136.2699469,908,909
3051.19113327413,909,909
5965749.33746835,900,909
37832.6020814843,901,909
1660050.52520295,902,909
5965749.33746835,900,910
37832.6020814843,901,910
1660050.52520295,902,910
2265890.1307607,907,910
22146136.2699469,908,910
3051.19113327413,909,910
29804.4742570946,700,910
29720.9564882184,701,910
29727.1697598072,702,910
1571907.36162803,703,910
6435962.81987588,1,910
1017553.27664032,2,910
783188.244383523,3,910
86534829.4078615,4,910
88938321.9222929,5,910
6140.26786878123,6,910
20141.8704261731,7,910
9207.48775645268,8,910
4.92791546730251e-29,9,910
4.92791546730251e-29,10,910
4.92791546730251e-29,11,910
4.92791546730251e-29,12,910
6162.16580782055,13,910
20006.5307994758,14,910
17631.8961864407,15,910
5748.57864128998,16,910
6668.73408915228,17,910
12969.9348044132,18,910
5434.84615384615,259,910
4997.32267613973,260,910
18978.1341986969,261,910
28184.7427466151,262,910
4011.37142857143,263,910
36767.9017117615,264,910
33475.0842153705,265,910
15593.1439084219,266,910
4503.52941176471,267,910
